X,Y
2.19357151156873,0
3.27313035388943,0
4.95176653505769,0
4.68376573128625,0
5.88076989818364,0
3.68187887336535,0
3.94903953140601,0
1.61349806451472,0
4.11005419967114,0
2.72202203935012,0
1.97952875471673,0
2.94201971276198,0
2.51262907416094,0
4.70694420376094,0
2.66565610520774,0
2.20810068942956,0
3.23701318241365,0
3.54808197091916,0
1.79218648857204,0
3.32795924198581,0
7.76912022248143,1
9.04300625025644,1
6.98261194175575,1
7.70496560308675,1
8.47397520575032,1
6.83305463299621,1
7.79184622134198,1
7.5802977537096,1
8.54045244723966,1
6.50444510229863,1
8.08797201189736,1
6.79772076383233,1
5.12410499341785,1
7.29437763057649,1
10.2583117242902,1
7.65982624416938,1
8.97775455287774,1
8.51181132221245,1
8.16502667676832,1
7.64161361276638,1
